program_id,action,proposed_db_actions,blockers
703ADIPMA,UNCHANGED,[],[]
703BDIPMA,UNCHANGED,[],[]
703CDIPMA,UNCHANGED,[],[]
703DDIPMA,UNCHANGED,[],[]
703EDIPMA,UNCHANGED,[],[]
7110CERT,UNCHANGED,[],[]
7140DIPMA,UNCHANGED,[],[]
7340DIPLT,UNCHANGED,[],[]
7460MCERT,UNCHANGED,[],[]
7475DIPMA,UNCHANGED,[],[]
7535DIPMA,UNCHANGED,[],[]
7610ACERT,UNCHANGED,[],[]
7710DIPMA,UNCHANGED,[],[]
7870CERT,UNCHANGED,[],[]
7880ACERT,UNCHANGED,[],[]
7935DIPMA,UNCHANGED,[],[]
7985ACERT,UNCHANGED,[],[]
8040BSC,UNCHANGED,[],[]
8050BTECH,UNCHANGED,[],[]
8120BTECH,UNCHANGED,[],[]
8310BTECH,UNCHANGED,[],[]
8350BTECH,UNCHANGED,[],[]
847BBTECH,UNCHANGED,[],[]
847CBTECH,UNCHANGED,[],[]
8520BENVH,UNCHANGED,[],[]
8610BENG,UNCHANGED,[],[]
8645BSC,UNCHANGED,[],[]
8660BENG,UNCHANGED,[],[]
867ABSC,UNCHANGED,[],[]
867BBSC,UNCHANGED,[],[]
867CBSC,UNCHANGED,[],[]
867DBSC,UNCHANGED,[],[]
867EBSC,UNCHANGED,[],[]
867FBSC,UNCHANGED,[],[]
8800BTECH,UNCHANGED,[],[]
8830BID,UNCHANGED,[],[]
8900BTECH,UNCHANGED,[],[]
8910BSC,UNCHANGED,[],[]
9100FADVDIP,UNCHANGED,[],[]
9100PADVDIP,UNCHANGED,[],[]
9940BSC,UNCHANGED,[],[]
9975BBA,UNCHANGED,[],[]
9980BCI,UNCHANGED,[],[]
A500GRCERT,UNCHANGED,[],[]
A600GRCERT,UNCHANGED,[],[]
M120MENG,UNCHANGED,[],[]
M220MASC,UNCHANGED,[],[]
M410MSC,UNCHANGED,[],[]
M500MENG,UNCHANGED,[],[]
