course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
REES6040,,,https://www.bcit.ca/courses/energy-storage-and-fuel-cells-rees-6040/,,program_matrix_link,https://www.bcit.ca/programs/renewable-energy-electrical-systems-installation-and-maintenance-advanced-certificate-part-time-6185adcert/,REES 6040,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1000,,,https://www.bcit.ca/courses/introduction-to-natural-resources-protection-renr-1000/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1000,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1001,,,https://www.bcit.ca/courses/field-notes-mensuration-and-data-collection-for-environmental-professionals-renr-1001/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1001,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1002,,,https://www.bcit.ca/courses/maps-and-mapping-for-field-technicians-renr-1002/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1002,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1003,,,https://www.bcit.ca/courses/nature-based-solutions-for-climate-change-renr-1003/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1003,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1004,,,https://www.bcit.ca/courses/protected-areas-management-renr-1004/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1004,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1005,,,https://www.bcit.ca/courses/environmental-monitoring-renr-1005/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1005,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR1006,,,https://www.bcit.ca/courses/natural-resource-governance-renr-1006/,,program_matrix_link,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,RENR 1006,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR7001,,,https://www.bcit.ca/courses/foundations-of-biology-renr-7001/,,program_matrix_link,https://www.bcit.ca/programs/ecological-restoration-bachelor-of-science-full-time-part-time-8040bsc/,RENR 7001,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
RENR7002,,,https://www.bcit.ca/courses/environmental-assessment-renr-7002/,,program_matrix_link,https://www.bcit.ca/programs/ecological-restoration-bachelor-of-science-full-time-part-time-8040bsc/,RENR 7002,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
