key,requested_url,final_url,declared_canonical_url,sha256,verification
international_full_time,https://www.bcit.ca/international-applicants/regular-credential-programs/,https://www.bcit.ca/international-applicants/regular-credential-programs/,,25b3dbe8761d6e7beb1e287ef9f535910acf8a8230e5080743cb4c9a692126a7,ONLY_GENERATION_TIMESTAMP_COMMENT_CHANGED
6130DIPMA,https://www.bcit.ca/programs/television-video-production-diploma-full-time-6130dipma/,https://www.bcit.ca/programs/television-and-video-production-diploma-full-time-6130dipma/,https://www.bcit.ca/programs/television-and-video-production-diploma-full-time-6130dipma/,51e7b458d251ce6ba9f1c9d163d08c85a21dc87feca341ae663b2e0e4afc3b0c,EXACT_ID_CANONICAL_VERIFIED
810BBSN,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-810bbsn/,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-810bbsn/,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810bbsn/,d8e86ad7e83abaf4063b21dcbf71aa6c5c9b2dd68eb2c2b9597946116ae86629,EXACT_ID_CANONICAL_VERIFIED
810CBSN,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-810cbsn/,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-810cbsn/,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810cbsn/,e5b608cf2fee038b776c6ca7d6fc82bc4419e175c78f1cb5af7b8c0d500c597e,EXACT_ID_CANONICAL_VERIFIED
810KBSN,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-810kbsn/,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-810kbsn/,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810kbsn/,124ada7f63e2e5c4221c91f7eec6adc3aa4d07333ebc6b0e374e0982beeca428,EXACT_ID_CANONICAL_VERIFIED
810NBSN,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-810nbsn/,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-810nbsn/,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810nbsn/,5a26025e843277affc5b60d6916f4731821c8589d7fdfeb0cf3315c11bb91258,EXACT_ID_CANONICAL_VERIFIED
M600MSC,https://www.bcit.ca/programs/applied-computing-master-of-science-full-time-m600msc/,https://www.bcit.ca/programs/applied-computing-master-of-science-full-time-m600msc/,https://www.bcit.ca/programs/applied-computing-master-of-science-full-time-m600msc/,8ce1369e1ed8a0f11f9752525a942cae2b79b28fe20da8ce9cbf823831d73446,EXACT_ID_CANONICAL_VERIFIED
