program_id,source_url,source_title,credential,format,domestic_only,intake_start,application_status,campus,matched
1780CERT,https://www.bcit.ca/programs/electrical-foundation-certificate-full-time-1780cert/,Electrical Foundation,Certificate,Full-time,false,Ongoing intake,Waitlisting,Burnaby Campus,true
1780CERT,https://www.bcit.ca/programs/electrical-foundation-certificate-full-time-1780cert/,Electrical Foundation,Certificate,Full-time,false,Ongoing intake,Waitlisting,DW Poppy Secondary - Langley,true
1780CERT,https://www.bcit.ca/programs/electrical-foundation-certificate-full-time-1780cert/,Electrical Foundation,Certificate,Full-time,false,Ongoing intake,Waitlisting,Princess Margaret - Surrey,true
,https://www.bcit.ca/programs/electrical-engineering/,Electrical and Computer Engineering Technology ECET,Diploma Levels 1 - 4,Full-time,false,Sep 2026,Closed,Burnaby Campus,false
,https://www.bcit.ca/programs/electrical-engineering/,Electrical and Computer Engineering Technology ECET,Diploma Levels 1 - 4,Full-time,false,Jan 2027,Open,Burnaby Campus,false
5810DIPMA,https://www.bcit.ca/programs/electroneurophysiology-diploma-full-time-5810dipma/,Electroneurophysiology,Diploma,Full-time,false,Jan 2027,Open,Burnaby Campus,true
8900BTECH,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,Electronics,Bachelor of Technology,Part-time,false,Sep 2026,Closed,Burnaby Campus,true
8900BTECH,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,Electronics,Bachelor of Technology,Part-time,false,Jan 2027,Open,Burnaby Campus,true
8900BTECH,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,Electronics,Bachelor of Technology,Part-time - Domestic Only,true,Apr 2027,Open,Burnaby Campus,true
,https://www.bcit.ca/programs/energy-study-abroad-full-time-0345nobcit/,Energy Study Abroad,,Full-time,false,Sep 2026,Closed,Burnaby/Downtown,false
,https://www.bcit.ca/programs/energy-study-abroad-full-time-0345nobcit/,Energy Study Abroad,,Full-time,false,Jan 2027,Open,Burnaby/Downtown,false
,https://www.bcit.ca/programs/energy-study-abroad-full-time-0345nobcit/,Energy Study Abroad,,Full-time,false,Apr 2027,Not yet open,Burnaby/Downtown,false
8520BENVH,https://www.bcit.ca/programs/environmental-public-health-bachelor-of-environmental-public-health-full-time-8520benvh/,Environmental Public Health,Bachelor of Environmental Public Health,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
5077CERT,https://www.bcit.ca/programs/event-marketing-and-management-strategy-certificate-part-time-5077cert/,Event Marketing and Management Strategy,Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
5077CERT,https://www.bcit.ca/programs/event-marketing-and-management-strategy-certificate-part-time-5077cert/,Event Marketing and Management Strategy,Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
5077CERT,https://www.bcit.ca/programs/event-marketing-and-management-strategy-certificate-part-time-5077cert/,Event Marketing and Management Strategy,Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Sep 2026,Closed,Online,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Jan 2027,Open,Online,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
6315ACERT,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/,Event Marketing and Planning Foundations,Associate Certificate,Part-time,false,Apr 2027,Open,Online,true
,https://www.bcit.ca/programs/finance-diplomas/,Finance,Diploma,Full-time,false,Sep 2026,Closed,Blended: Burnaby Campus,false
,https://www.bcit.ca/programs/finance-diplomas/,Finance,Diploma,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/finance-diplomas/,Finance,Diploma,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/finance-diplomas/,Finance,Diploma,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,false
585CMCERT,https://www.bcit.ca/programs/financial-management-finance-option-certificate-part-time-585cmcert/,Financial Management Finance Option,Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
585CMCERT,https://www.bcit.ca/programs/financial-management-finance-option-certificate-part-time-585cmcert/,Financial Management Finance Option,Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
585CMCERT,https://www.bcit.ca/programs/financial-management-finance-option-certificate-part-time-585cmcert/,Financial Management Finance Option,Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
585IACERT,https://www.bcit.ca/programs/financial-management-financial-planning-associate-certificate-part-time-585iacert/,Financial Management Financial Planning Option,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
585IACERT,https://www.bcit.ca/programs/financial-management-financial-planning-associate-certificate-part-time-585iacert/,Financial Management Financial Planning Option,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
585IACERT,https://www.bcit.ca/programs/financial-management-financial-planning-associate-certificate-part-time-585iacert/,Financial Management Financial Planning Option,Associate Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
585FMCERT,https://www.bcit.ca/programs/financial-management-professional-accounting-option-certificate-part-time-585fmcert/,Financial Management Professional Accounting Option,Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
585FMCERT,https://www.bcit.ca/programs/financial-management-professional-accounting-option-certificate-part-time-585fmcert/,Financial Management Professional Accounting Option,Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
585FMCERT,https://www.bcit.ca/programs/financial-management-professional-accounting-option-certificate-part-time-585fmcert/,Financial Management Professional Accounting Option,Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
,https://www.bcit.ca/programs/financial-planning-diplomas/,Financial Planning,Diploma,Full-time,false,Sep 2026,Closed,Blended: Burnaby Campus,false
,https://www.bcit.ca/programs/financial-planning-diplomas/,Financial Planning,Diploma,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/financial-planning-diplomas/,Financial Planning,Diploma,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/financial-planning-diplomas/,Financial Planning,Diploma,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/fire-executive-management-bcit-industry-partnership-certificate-part-time-6270ipcert/,Fire Executive Management,BCIT/Industry Partnership Certificate,Part-time,false,Sep 2026,Closed,Burnaby/Downtown,false
,https://www.bcit.ca/programs/fire-executive-management-bcit-industry-partnership-certificate-part-time-6270ipcert/,Fire Executive Management,BCIT/Industry Partnership Certificate,Part-time,false,Jan 2027,Closed,Burnaby/Downtown,false
675FACERT,https://www.bcit.ca/programs/fire-protection-inspection-and-testing-associate-certificate-part-time-675facert/,Fire Protection Inspection and Testing,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby Campus,true
675FACERT,https://www.bcit.ca/programs/fire-protection-inspection-and-testing-associate-certificate-part-time-675facert/,Fire Protection Inspection and Testing,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby Campus,true
675FACERT,https://www.bcit.ca/programs/fire-protection-inspection-and-testing-associate-certificate-part-time-675facert/,Fire Protection Inspection and Testing,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby Campus,true
7935DIPMA,https://www.bcit.ca/programs/fish-wildlife-and-recreation-diploma-full-time-7935dipma/,"Fish, Wildlife and Recreation",Diploma,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
5155DIPMA,https://www.bcit.ca/programs/food-processing-safety-and-quality-diploma-full-time-5155dipma/,"Food Processing, Safety and Quality",Diploma Levels 1 - 4,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
6365ACERT,https://www.bcit.ca/programs/food-safety-associate-certificate-part-time-6365acert/,Food Safety,Associate Certificate,Part-time,false,Sep 2026,Closed,Burnaby/Blended,true
6365ACERT,https://www.bcit.ca/programs/food-safety-associate-certificate-part-time-6365acert/,Food Safety,Associate Certificate,Part-time,false,Jan 2027,Open,Burnaby/Blended,true
6365ACERT,https://www.bcit.ca/programs/food-safety-associate-certificate-part-time-6365acert/,Food Safety,Associate Certificate,Part-time,false,Apr 2027,Open,Burnaby/Blended,true
528AADCERT,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-advanced-certificate-part-time-528aadcert/,Forensic Investigation Crime and Intelligence Analysis Option,Advanced Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
528AADCERT,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-advanced-certificate-part-time-528aadcert/,Forensic Investigation Crime and Intelligence Analysis Option,Advanced Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
528AADCERT,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-advanced-certificate-part-time-528aadcert/,Forensic Investigation Crime and Intelligence Analysis Option,Advanced Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
847ABTECH,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-bachelor-of-technology-part-time-847abtech/,Forensic Investigation Crime and Intelligence Analysis Option,Bachelor of Technology,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
847ABTECH,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-bachelor-of-technology-part-time-847abtech/,Forensic Investigation Crime and Intelligence Analysis Option,Bachelor of Technology,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
847ABTECH,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-bachelor-of-technology-part-time-847abtech/,Forensic Investigation Crime and Intelligence Analysis Option,Bachelor of Technology,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
528CADCERT,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-advanced-certificate-part-time-528cadcert/,Forensic Investigation Digital Forensics and Cybersecurity Option,Advanced Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
528CADCERT,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-advanced-certificate-part-time-528cadcert/,Forensic Investigation Digital Forensics and Cybersecurity Option,Advanced Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
528CADCERT,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-advanced-certificate-part-time-528cadcert/,Forensic Investigation Digital Forensics and Cybersecurity Option,Advanced Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
847CBTECH,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/,Forensic Investigation Digital Forensics and Cybersecurity Option,Bachelor of Technology,Full-time,false,Sep 2026,Closed,Downtown Campus,true
