program_id,action,proposed_db_actions,blockers
1230DIPMA,UNCHANGED,[],[]
1320ADCERT,UNCHANGED,[],[]
1430DIPMA,UNCHANGED,[],[]
143BDIPMA,UNCHANGED,[],[]
1645CERT,UNCHANGED,[],[]
1710CERTTS,UNCHANGED,[],[]
1720CERTTS,UNCHANGED,[],[]
1790ACERT,UNCHANGED,[],[]
1855DIPMA,UNCHANGED,[],[]
1930DIPMA,UNCHANGED,[],[]
1940CERT,UNCHANGED,[],[]
2060CERT,UNCHANGED,[],[]
2175TTCERT,UNCHANGED,[],[]
2410TTCERT,UNCHANGED,[],[]
2425CERT,UNCHANGED,[],[]
2430DIPMA,UNCHANGED,[],[]
2440CERT,UNCHANGED,[],[]
2645CERT,UNCHANGED,[],[]
2825CERT,UNCHANGED,[],[]
2915CERT,UNCHANGED,[],[]
2945DIPMA,UNCHANGED,[],[]
5063DIPMA,UNCHANGED,[],[]
5077CERT,UNCHANGED,[],[]
5085ACERT,UNCHANGED,[],[]
5105DIPMA,UNCHANGED,[],[]
5115ACERT,UNCHANGED,[],[]
5140ACERT,UNCHANGED,[],[]
5155DIPMA,UNCHANGED,[],[]
5165ADCERT,UNCHANGED,[],[]
5170ACERT,UNCHANGED,[],[]
5175ACERT,UNCHANGED,[],[]
5180ADVDIP,UNCHANGED,[],[]
5235ADCERT,UNCHANGED,[],[]
5240ADVDIP,UNCHANGED,[],[]
5265DIPMA,UNCHANGED,[],[]
528AADCERT,UNCHANGED,[],[]
528BADCERT,UNCHANGED,[],[]
528CADCERT,UNCHANGED,[],[]
5290ADVDIP,UNCHANGED,[],[]
5312ADVDIP,UNCHANGED,[],[]
5325ACERT,UNCHANGED,[],[]
534ADIPMA,UNCHANGED,[],[]
534BDIPMA,UNCHANGED,[],[]
534CDIPMA,UNCHANGED,[],[]
5375DIPMA,UNCHANGED,[],[]
5410DIPLT,UNCHANGED,[],[]
5440ADCERT,UNCHANGED,[],[]
5500CERT,UNCHANGED,[],[]
5500DIPMA,UNCHANGED,[],[]
5500PDIPLT,UNCHANGED,[],[]
