program_id,action,proposed_db_actions,blockers
635EDIPLT,UNCHANGED,[],[]
6375ACERT,UNCHANGED,[],[]
6385ACERT,UNCHANGED,[],[]
6390ACERT,UNCHANGED,[],[]
6422DIPMA,UNCHANGED,[],[]
6425ACERT,UNCHANGED,[],[]
642ADIPMA,UNCHANGED,[],[]
642BDIPMA,UNCHANGED,[],[]
642CDIPMA,UNCHANGED,[],[]
642DDIPMA,UNCHANGED,[],[]
642EDIPMA,UNCHANGED,[],[]
6450MCERT,UNCHANGED,[],[]
6505ACERT,UNCHANGED,[],[]
6515DIPMA,UNCHANGED,[],[]
6525DIPMA,UNCHANGED,[],[]
6530CERT,UNCHANGED,[],[]
6535CERT,UNCHANGED,[],[]
6575DIPMA,UNCHANGED,[],[]
6585CERT,UNCHANGED,[],[]
6590ACERT,UNCHANGED,[],[]
6595DIPMA,UNCHANGED,[],[]
6630ACERT,UNCHANGED,[],[]
6640DIPMA,UNCHANGED,[],[]
6760ACERT,UNCHANGED,[],[]
680BASCERT,UNCHANGED,[],[]
680CASCERT,UNCHANGED,[],[]
680EASCERT,UNCHANGED,[],[]
680FASCERT,UNCHANGED,[],[]
680LASCERT,UNCHANGED,[],[]
680MASCERT,UNCHANGED,[],[]
680PASCERT,UNCHANGED,[],[]
680SASCERT,UNCHANGED,[],[]
680VASCERT,UNCHANGED,[],[]
680WASCERT,UNCHANGED,[],[]
680XADCERT,UNCHANGED,[],[]
680YADCERT,UNCHANGED,[],[]
680ZADCERT,UNCHANGED,[],[]
681BADCERT,UNCHANGED,[],[]
6830ACERT,UNCHANGED,[],[]
6835ADCERT,UNCHANGED,[],[]
6850DIPLT,UNCHANGED,[],[]
6860ADCERT,UNCHANGED,[],[]
6890CERT,UNCHANGED,[],[]
690AMCERT,UNCHANGED,[],[]
690BMCERT,UNCHANGED,[],[]
690DMCERT,UNCHANGED,[],[]
690FMCERT,UNCHANGED,[],[]
6915DIPMA,UNCHANGED,[],[]
6945CERT,UNCHANGED,[],[]
6998CERT,UNCHANGED,[],[]
