program_id,action,proposed_db_actions,blockers
5512CERT,UNCHANGED,[],[]
5540DIPMA,UNCHANGED,[],[]
5725ACERT,UNCHANGED,[],[]
585CMCERT,UNCHANGED,[],[]
585FMCERT,UNCHANGED,[],[]
585IACERT,UNCHANGED,[],[]
5880DIPLT,UNCHANGED,[],[]
5985ACERT,UNCHANGED,[],[]
6005ACERT,UNCHANGED,[],[]
6008CERT,UNCHANGED,[],[]
6030CERT,UNCHANGED,[],[]
6035DIPMA,UNCHANGED,[],[]
6035PDIPMA,UNCHANGED,[],[]
6045DIPMA,UNCHANGED,[],[]
6045PDIPMA,UNCHANGED,[],[]
6055DIPMA,UNCHANGED,[],[]
6055PDIPMA,UNCHANGED,[],[]
6110DIPMA,UNCHANGED,[],[]
6115ACERT,UNCHANGED,[],[]
6120ACERT,UNCHANGED,[],[]
6125ACERT,UNCHANGED,[],[]
6135DIPMA,UNCHANGED,[],[]
6140DIPMA,UNCHANGED,[],[]
6185ADCERT,UNCHANGED,[],[]
6195CERT,UNCHANGED,[],[]
6220FDIPMA,UNCHANGED,[],[]
6220PDIPMA,UNCHANGED,[],[]
6225ACERT,UNCHANGED,[],[]
6235DIPMA,UNCHANGED,[],[]
623ADIPMA,UNCHANGED,[],[]
623BDIPMA,UNCHANGED,[],[]
623CDIPMA,UNCHANGED,[],[]
6245DIPLT,UNCHANGED,[],[]
6245MCERT,UNCHANGED,[],[]
6247DIPMA,UNCHANGED,[],[]
625AMCERT,UNCHANGED,[],[]
6265ACERT,UNCHANGED,[],[]
6290DIPMA,UNCHANGED,[],[]
6300MCERT,UNCHANGED,[],[]
630DACERT,UNCHANGED,[],[]
630DMCERT,UNCHANGED,[],[]
630HACERT,UNCHANGED,[],[]
630MACERT,UNCHANGED,[],[]
630PMCERT,UNCHANGED,[],[]
630VMCERT,UNCHANGED,[],[]
630WACERT,UNCHANGED,[],[]
630XACERT,UNCHANGED,[],[]
6310ACERT,UNCHANGED,[],[]
635CDIPLT,UNCHANGED,[],[]
635DDIPLT,UNCHANGED,[],[]
